Resumo,Chave da item,ID da item,Tipo de item,Status,Chave do projeto,Nome do projeto,Tipo de projeto,Líder do projeto,ID do líder do projeto,Descrição do projeto,Prioridade,Resolução,Responsável,ID do responsável,Relator,ID do relator,Criador,ID do criador,Criado,Atualizado(a),Última visualização,Resolvido,Data limite,Votos,Categorias,Descrição,Ambiente,Seguidores,Seguidores,ID dos seguidores,ID dos seguidores,Estimativa original,Estimativa de trabalho restante,Tempo gasto,Razão Trabalhada,Σ da Estimativa Original,Σ Estimativa de trabalho restante,Σ de Tempo Gasto,Nível de Segurança,Anexo,Anexo,Campo personalizado (Data de início),Campo personalizado (Issue color),Campo personalizado (Objetivos),Campo personalizado (Projeto),Campo personalizado (Rank),Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (development),Comentar,Categoria do status,Categoria do status alterada,Pai,Chave pai,Parent summary
revisar requisitos ,AA-29,10095,Subtarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,lokero X,712020:3f07c3d8-8a97-4de4-a677-6389f1b87f69,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:26 PM,24/mai/26 2:09 PM,02/mai/26 5:26 PM,24/mai/26 2:09 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001b:,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:09 PM,10093,AA-28,fazer documento de requisitos
revisar requisitos ,AA-30,10097,Subtarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Paulo Bessa,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:27 PM,24/mai/26 2:09 PM,,24/mai/26 2:09 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001j:,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:09 PM,10093,AA-28,fazer documento de requisitos
documento de caso de uso,AA-31,10098,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Paulo Bessa,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:27 PM,24/mai/26 2:08 PM,11/mai/26 10:43 PM,24/mai/26 2:08 PM,,0,Documentação,Desenvolver documento de casos de uso do projeto [Alimenta.AI|http://Alimenta.AI] ,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,11/mai/26 10:19 PM;ug:1d7b601d-b6a3-4582-b0fd-e54f25fcbb74;Documento de Casos de Uso - AlimentaAI-2.docx;https://ricardocamati14.atlassian.net/rest/api/3/attachment/content/10001,11/mai/26 10:18 PM;ug:1d7b601d-b6a3-4582-b0fd-e54f25fcbb74;Documento de Casos de Uso - AlimentaAI.pdf;https://ricardocamati14.atlassian.net/rest/api/3/attachment/content/10000,,,,,0|i0001r:,quadro Sprint 1,2.0,,{},,Itens concluídos,24/mai/26 2:08 PM,,,
fazer documento de requisitos,AA-28,10093,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:26 PM,24/mai/26 2:08 PM,24/mai/26 2:09 PM,24/mai/26 2:08 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001v:,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:08 PM,,,
Definir arquitetura e tecnologias,AA-23,10088,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 4:30 PM,24/mai/26 2:08 PM,11/mai/26 10:44 PM,24/mai/26 2:08 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001x:,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:08 PM,,,
Configurar repositório e ambiente,AA-24,10089,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 4:30 PM,24/mai/26 2:08 PM,,24/mai/26 2:08 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001y:,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:08 PM,,,
fazer requisitos,AA-25,10090,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:24 PM,24/mai/26 2:08 PM,,24/mai/26 2:08 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001y:i,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:08 PM,,,
fazer requisitos,AA-26,10091,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,Paulo Bessa,712020:6706328e-9b45-40e2-b96e-078d4b8946a7,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:25 PM,24/mai/26 2:08 PM,,24/mai/26 2:08 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001y:r,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:08 PM,,,
fazer requisitos,AA-27,10092,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,lokero X,712020:3f07c3d8-8a97-4de4-a677-6389f1b87f69,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:25 PM,24/mai/26 2:08 PM,,24/mai/26 2:08 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001y:v,quadro Sprint 1,,,{},,Itens concluídos,24/mai/26 2:08 PM,,,
diagrama de caso de uso,AA-32,10099,Tarefa,Concluído,AA, Alimenta.AI,software,Ricardo Camati,6407bb4b4307e46ad146d864,,Medium,Itens concluídos,lokero X,712020:3f07c3d8-8a97-4de4-a677-6389f1b87f69,Ricardo Camati,6407bb4b4307e46ad146d864,Ricardo Camati,6407bb4b4307e46ad146d864,02/mai/26 5:28 PM,11/mai/26 11:18 PM,,11/mai/26 11:18 PM,,0,,,,Ricardo Camati,,6407bb4b4307e46ad146d864,,,,,,,,,,,,,,,,0|i0001z:,,,,{},,Itens concluídos,11/mai/26 11:18 PM,,,
